TaxonName,CommonName,FleetGearName,bycatch,destruction,TaxonKey,FunctionalGroupDescription,fish_type
Cancer borealis,Jonah crab,Trap,high,non-destructive,690203,"Lobsters, crabs",demersal
Osmeridae,Smelts,Trawl,high,destructive,400080,Small pelagics (<30 cm),demersal
Paralithodes platypus,Blue King Crab,Trap,high,non-destructive,690622,"Lobsters, crabs",demersal
Carcinus aestuarii,Mediterranean shore crab,Trawl,high,destructive,690242,"Lobsters, crabs",demersal
Panopea abrupta,Pacific geoduck,Trap,high,non-destructive,690284,Other demersal invertebrates,demersal
Lepidonotothen larseni,Lepidonotothen larseni,Lines Non-tuna,low,non-destructive,NA,NA,pelagic
Alosa sapidissima,American shad,Gillnet,high,non-destructive,601584,Medium pelagics (30 - 89 cm),pelagic
Chlamys islandica,Iceland scallop,Dredge,high,destructive,690185,Other demersal invertebrates,demersal
Nibea mitsukurii,Nibe croaker,Lines Non-tuna,low,non-destructive,600427,Medium benthopelagics (30 - 89 cm),pelagic
Marine fishes not identified,Finfishes,Trawl,high,destructive,100039,Medium demersals (30 - 89 cm),demersal
Platycephalidae,Flatheads,Trawl,high,destructive,400273,Medium demersals (30 - 89 cm),demersal
Dentex congoensis,Congo dentex,Trawl midwater,high,non-destructive,604641,Medium demersals (30 - 89 cm),pelagic
Alosa pseudoharengus,Alewife,Trap,high,non-destructive,601583,Medium pelagics (30 - 89 cm),demersal
Solenocera agassizii,Kolibri shrimp,Trawl,high,destructive,690217,Shrimps,demersal
Chelon labrosus,Thicklip grey mullet,Trawl midwater,high,non-destructive,602499,Medium demersals (30 - 89 cm),pelagic
Sebastes pinniger,Canary rockfish,Lines Non-tuna,low,non-destructive,603989,Medium reef assoc. fish (30 - 89 cm),pelagic
Pagrus,Seabreams (Pagrus spp),Trawl midwater,high,non-destructive,500903,Medium benthopelagics (30 - 89 cm),pelagic
Pentanemus quinquarius,Royal threadfin,Lines Non-tuna,low,non-destructive,600342,Small demersals (<30 cm),demersal
Acanthopagrus latus,Yellowfin seabream,Trawl,high,destructive,606356,Medium demersals (30 - 89 cm),demersal
Miscellaneous marine molluscs,Marine molluscs,Trap,high,non-destructive,NA,NA,demersal
Mene maculata,Moonfish,Gillnet,high,non-destructive,600390,Medium reef assoc. fish (30 - 89 cm),pelagic
Dicologlossa cuneata,Wedge sole,Trawl,high,destructive,600526,Small to medium flatfishes (<90 cm),demersal
Arripis trutta,Eastern Australian salmon,Gillnet,high,non-destructive,605048,Medium pelagics (30 - 89 cm),pelagic
Scyliorhinidae,Cat sharks,Trawl,high,destructive,400010,Small to medium sharks (<90 cm),demersal
Tivela mactroides,Trigonal tivela,Dredge,high,destructive,690629,Other demersal invertebrates,demersal
Arctica islandica,Ocean quahog,Dredge,high,destructive,690275,Other demersal invertebrates,demersal
Myoxocephalus,Sculpins,Lines Non-tuna,low,non-destructive,500717,Large reef assoc. fish (>=90 cm),pelagic
Limulus polyphemus,Horseshoe crab,Dredge,high,destructive,690182,Other demersal invertebrates,demersal
Octopodidae,Octopuses,Trawl,high,destructive,490012,Cephalopods,demersal
Osmerus mordax mordax,Atlantic rainbow smelt,Purse seine Non-tuna,low,non-destructive,600253,Small pelagics (<30 cm),pelagic
Oncorhynchus mykiss,Rainbow trout,Longline Non-tuna,high,non-destructive,600239,Large benthopelagics (>=90 cm),pelagic
Anodontostoma chacunda,Chacunda gizzard shad,Trawl midwater,high,non-destructive,601619,Small pelagics (<30 cm),pelagic
Menidia menidia,Atlantic silverside,Gillnet,high,non-destructive,600339,Small pelagics (<30 cm),pelagic
Chaceon quinquedens,Red deepsea crab,Trap,high,non-destructive,690320,"Lobsters, crabs",demersal
Alectis alexandrinus,African threadfish,Lines Non-tuna,low,non-destructive,NA,NA,pelagic
Portunus trituberculatus,Gazami crab,Trap,high,non-destructive,690143,"Lobsters, crabs",demersal
Paralichthys,American flounders,Longline Non-tuna,high,non-destructive,500048,Large reef assoc. fish (>=90 cm),pelagic
Cetengraulis mysticetus,Pacific anchoveta,Trawl,high,destructive,600548,Small pelagics (<30 cm),demersal
Ascidiacea,Sea squirts,Dredge,high,destructive,290005,Other demersal invertebrates,demersal
Brotula barbata,Bearded brotula,Trawl,high,destructive,600486,Medium benthopelagics (30 - 89 cm),demersal
Opisthonema oglinum,Atlantic thread herring,Seine,high,non-destructive,601486,Small pelagics (<30 cm),pelagic
Muraena helena,Mediterranean moray,Lines Non-tuna,low,non-destructive,601729,Large reef assoc. fish (>=90 cm),pelagic
Scyliorhinus canicula,Smallspotted catshark,Trawl,high,destructive,600845,Small to medium sharks (<90 cm),demersal
Atherina boyeri,Big-scale sand smelt,Gillnet,high,non-destructive,601696,Small demersals (<30 cm),demersal
Pleuragramma antarcticum,Antarctic silverfish,Trawl,high,destructive,NA,NA,demersal
Spicara maena,Blotched picarel,Purse seine Non-tuna,low,non-destructive,604887,Small demersals (<30 cm),pelagic
Larimichthys crocea,Large yellow croaker,Trawl,high,destructive,600428,Medium benthopelagics (30 - 89 cm),demersal
Chlorophthalmidae,Greeneyes,Gillnet,high,non-destructive,400163,Small demersals (<30 cm),demersal
Alosa aestivalis,Blueback shad,Gillnet,high,non-destructive,601574,Medium pelagics (30 - 89 cm),pelagic
Gnathanodon speciosus,Golden trevally,Trawl,high,destructive,604464,Large reef assoc. fish (>=90 cm),demersal
Lepidonotothen squamifrons,Grey rockcod,Trawl,high,destructive,607045,Medium benthopelagics (30 - 89 cm),demersal
Rhabdosargus haffara,Haffara seabream,Gillnet,high,non-destructive,608166,Medium reef assoc. fish (30 - 89 cm),pelagic
Trachurus picturatus,Blue jack mackerel,Trawl midwater,high,non-destructive,601279,Medium benthopelagics (30 - 89 cm),pelagic
Eledone,Horned and musky octopuses,Lines Non-tuna,low,non-destructive,590024,Cephalopods,pelagic
Chelon labrosus,Thicklip grey mullet,Lines Non-tuna,low,non-destructive,602499,Medium demersals (30 - 89 cm),demersal
Tylosurus crocodilus crocodilus,Hound needlefish,Gillnet,high,non-destructive,NA,NA,pelagic
Selar crumenophthalmus,Bigeye scad,Gillnet,high,non-destructive,600387,Medium pelagics (30 - 89 cm),pelagic
Genyonemus lineatus,White croaker,Lines Non-tuna,low,non-destructive,600422,Medium benthopelagics (30 - 89 cm),pelagic
Buccinidae,Buccinidae,Other,low,non-destructive,490021,Other demersal invertebrates,demersal
Muraena helena,Mediterranean moray,Gillnet,high,non-destructive,601729,Large reef assoc. fish (>=90 cm),pelagic
Scomberoides tol,Needlescaled queenfish,Gillnet,high,non-destructive,601953,Medium pelagics (30 - 89 cm),pelagic
Anthias anthias,Swallowtail seaperch,Lines Non-tuna,low,non-destructive,601692,Small reef assoc. fish (<30 cm),pelagic
Hydrolagus,Chimaeras,Trawl,high,destructive,503078,Small to medium rays (<90 cm),demersal
Scorpaenichthys marmoratus,Cabezon,Seine,high,non-destructive,604140,Medium demersals (30 - 89 cm),demersal
Homaridae/Palinuridae,Lobsters spiny-rock lobsters,Trawl,high,destructive,NA,NA,demersal
Sciaena umbra,Brown meagre,Lines Non-tuna,low,non-destructive,601707,Medium demersals (30 - 89 cm),demersal
Salvelinus alpinus alpinus,Charr,Trawl midwater,high,non-destructive,600247,Medium benthopelagics (30 - 89 cm),pelagic
Menticirrhus saxatilis,Northern kingcroaker,Trap,high,non-destructive,600410,Medium demersals (30 - 89 cm),demersal
Lopholatilus chamaeleonticeps,Great northern tilefish,Lines Non-tuna,low,non-destructive,600362,Large demersals (>=90 cm),demersal
Concholepas concholepas,False abalone,Other,low,non-destructive,690127,Other demersal invertebrates,demersal
Centroscymnus coelolepis,Portuguese dogfish,Trawl,high,destructive,600662,Large sharks (>=90 cm),demersal
Umbrina cirrosa,Shi drum,Trawl midwater,high,non-destructive,601306,Medium demersals (30 - 89 cm),pelagic
Coregonus albula,Vendace,Trawl midwater,high,non-destructive,600231,Medium pelagics (30 - 89 cm),pelagic
Lepidotrigla cavillone,Large-scaled gurnard,Trawl,high,destructive,601722,Small demersals (<30 cm),demersal
Epinephelus aeneus,White grouper,Trawl,high,destructive,600426,Large demersals (>=90 cm),demersal
Pseudopercis semifasciata,Argentinian sandperch,Trawl,high,destructive,650136,Medium demersals (30 - 89 cm),demersal
Selar crumenophthalmus,Bigeye scad,Lines Non-tuna,low,non-destructive,600387,Medium pelagics (30 - 89 cm),pelagic
Portunus trituberculatus,Gazami crab,Trawl,high,destructive,690143,"Lobsters, crabs",demersal
Gempylidae,Snake mackerels,Lines Non-tuna,low,non-destructive,400414,Large benthopelagics (>=90 cm),pelagic
Oncorhynchus,Pacific salmon,Gillnet,high,non-destructive,502724,Large benthopelagics (>=90 cm),pelagic
Scatophagus,Scats,Trawl,high,destructive,501242,Medium demersals (30 - 89 cm),demersal
Coregonus laurettae,Bering cisco,Lines Non-tuna,low,non-destructive,646941,Medium pelagics (30 - 89 cm),pelagic
Sebastes marinus,Ocean perch,Lines Non-tuna,low,non-destructive,NA,NA,pelagic
Cheimerius nufar,Santer seabream,Trawl midwater,high,non-destructive,600444,Medium reef assoc. fish (30 - 89 cm),pelagic
Eleginus gracilis,Saffron cod,Lines Non-tuna,low,non-destructive,600315,Medium demersals (30 - 89 cm),demersal
Cynoscion regalis,Gray weakfish,Gillnet,high,non-destructive,600406,Medium demersals (30 - 89 cm),demersal
Calamus,Porgies,Trawl,high,destructive,501551,Medium reef assoc. fish (30 - 89 cm),demersal
Lampris guttatus,Opah,Trawl,high,destructive,601072,Large bathypelagics (>=90 cm),demersal
Coregonus lavaretus,Common whitefish,Lines Non-tuna,low,non-destructive,600232,Medium demersals (30 - 89 cm),demersal
Pristiophorus,Sawsharks,Lines Non-tuna,low,non-destructive,501464,Large sharks (>=90 cm),pelagic
Priacanthus macracanthus,Red bigeye,Trawl,high,destructive,600356,Medium reef assoc. fish (30 - 89 cm),demersal
Tylosurus crocodilus crocodilus,Hound needlefish,Trawl midwater,high,non-destructive,NA,NA,pelagic
Alopias superciliosus,Bigeye thresher,Gillnet,high,non-destructive,602534,Large sharks (>=90 cm),pelagic
Pagrus auriga,Redbanded seabream,Trawl,high,destructive,605066,Medium benthopelagics (30 - 89 cm),demersal
Ophichthidae,Snake eels,Lines Non-tuna,low,non-destructive,400066,Medium demersals (30 - 89 cm),demersal
Brevoortia pectinata,Argentine menhaden,Purse seine Non-tuna,low,non-destructive,601590,Medium pelagics (30 - 89 cm),pelagic
Crassostrea iredalei,Slipper cupped oyster,Dredge,high,destructive,690364,Other demersal invertebrates,demersal
Rexea solandri,Silver gemfish,Trawl,high,destructive,608490,Large benthopelagics (>=90 cm),demersal
Paralithodes camtschaticus,Red king crab,Gillnet,high,non-destructive,690621,"Lobsters, crabs",demersal
Anarhichas minor,Spotted wolffish,Trawl,high,destructive,603811,Large demersals (>=90 cm),demersal
Salvelinus,Char,Trawl,high,destructive,501410,Large benthopelagics (>=90 cm),demersal
Cynoscion nebulosus,Spotted weakfish,Seine,high,non-destructive,600405,Medium demersals (30 - 89 cm),demersal
Hypoptychus dybowskii,Korean sandeel,Trawl,high,destructive,600488,Small benthopelagics (<30 cm),demersal
Lepidonotothen nudifrons,Gaudy notothen,Lines Non-tuna,low,non-destructive,607047,Small demersals (<30 cm),demersal
Salmo,Salmon and trout,Trawl midwater,high,non-destructive,500136,Large demersals (>=90 cm),pelagic
Stenotomus chrysops,Scup,Trawl midwater,high,non-destructive,600452,Medium demersals (30 - 89 cm),pelagic
Buccinum undatum,Whelk,Trap,high,non-destructive,690434,Other demersal invertebrates,demersal
Sarda orientalis,Striped bonito,Purse seine Non-tuna,low,non-destructive,600114,Large pelagics (>=90 cm),pelagic
Scyllarides latus,Mediterranean slipper lobster,Trap,high,non-destructive,690598,"Lobsters, crabs",demersal
Conger orbignianus,Argentine conger,Lines Non-tuna,low,non-destructive,600299,Large demersals (>=90 cm),demersal
Girella tricuspidata,Luderick,Trawl,high,destructive,608173,Medium benthopelagics (30 - 89 cm),demersal
Trachinotus mookalee,Indian pompano,Seine,high,non-destructive,601964,Medium demersals (30 - 89 cm),demersal
Sciaena umbra,Brown meagre,Trawl,high,destructive,601707,Medium demersals (30 - 89 cm),demersal
Scatophagus,Scats,Purse seine Non-tuna,low,non-destructive,501242,Medium demersals (30 - 89 cm),pelagic
Ablennes hians,Flat needlefish,Purse seine Non-tuna,low,non-destructive,600972,Large pelagics (>=90 cm),pelagic
Peprilus paru,American harvestfish,Gillnet,high,non-destructive,628143,Small benthopelagics (<30 cm),pelagic
Peprilus,Harvestfishes,Trawl midwater,high,non-destructive,501164,Small benthopelagics (<30 cm),pelagic
Centroberyx affinis,Redfish,Trawl midwater,high,non-destructive,614129,Medium benthopelagics (30 - 89 cm),pelagic
Alepocephalus bairdii,Bairds smooth-head,Gillnet,high,non-destructive,600230,Large bathydemersals (>=90 cm),demersal
Nematopalaemon schmitti,Whitebelly prawn,Dredge,high,destructive,690694,Shrimps,demersal
Trachurus symmetricus,Pacific jack mackerel,Seine,high,non-destructive,600368,Medium pelagics (30 - 89 cm),pelagic
Anarhichas minor,Spotted wolffish,Seine,high,non-destructive,603811,Large demersals (>=90 cm),demersal
Cancer productus,Pacific rock crab,Trap,high,non-destructive,690287,"Lobsters, crabs",demersal
Decapterus maruadsi,Japanese scad,Trawl,high,destructive,601939,Small pelagics (<30 cm),demersal
Nemadactylus bergi,White morwong,Trawl,high,destructive,600460,Medium demersals (30 - 89 cm),demersal
Cheilopogon agoo,Japanese flyingfish,Purse seine Non-tuna,low,non-destructive,610307,Medium pelagics (30 - 89 cm),pelagic
Jasus edwardsii,Red rock lobster,Trap,high,non-destructive,690321,"Lobsters, crabs",demersal
Coregonus sardinella,Sardine cisco,Purse seine Non-tuna,low,non-destructive,602678,Medium pelagics (30 - 89 cm),pelagic
Epinephelus tauvina,Greasy grouper,Lines Non-tuna,low,non-destructive,604461,Medium reef assoc. fish (30 - 89 cm),pelagic
Mustelus schmitti,Narrownose smooth-hound,Gillnet,high,non-destructive,605937,Small to medium sharks (<90 cm),pelagic
Malacanthidae,Tilefishes,Gillnet,high,non-destructive,400308,Medium demersals (30 - 89 cm),demersal
Pterogymnus laniarius,Panga seabream,Lines Non-tuna,low,non-destructive,600448,Medium benthopelagics (30 - 89 cm),pelagic
Tetrapturus albidus,Atlantic white marlin,Pole and Line Tuna,low,non-destructive,NA,NA,pelagic
Oncorhynchus masou masou,Cherry salmon,Lines Non-tuna,low,non-destructive,600242,Medium benthopelagics (30 - 89 cm),pelagic
Sphyrna lewini,Scalloped hammerhead,Gillnet,high,non-destructive,600912,Large sharks (>=90 cm),pelagic
Mustelus lenticulatus,Spotted estuary smooth-hound,Lines Non-tuna,low,non-destructive,605933,Large sharks (>=90 cm),pelagic
Dasyatis,Stingrays,Trawl,high,destructive,500646,Large rays (>=90 cm),demersal
Pagrus auratus,Squirefish,Trawl midwater,high,non-destructive,606426,Large demersals (>=90 cm),pelagic
Portunidae,Swimming crabs,Trawl,high,destructive,490031,"Lobsters, crabs",demersal
Squatina argentina,Argentine angelshark,Gillnet,high,non-destructive,600727,Large sharks (>=90 cm),pelagic
Mustelus henlei,Brown smooth-hound,Trawl midwater,high,non-destructive,602540,Small to medium sharks (<90 cm),pelagic
Selene dorsalis,African moonfish,Lines Non-tuna,low,non-destructive,600379,Small demersals (<30 cm),demersal
Salvelinus malma malma,Dolly varden,Lines Non-tuna,low,non-destructive,602691,Large benthopelagics (>=90 cm),pelagic
Metanephrops mozambicus,Mozambique lobster,Trawl,high,destructive,690249,"Lobsters, crabs",demersal
Lethrinus lentjan,Pink ear emperor,Lines Non-tuna,low,non-destructive,601863,Medium demersals (30 - 89 cm),demersal
Seriolella,Barrelfishes,LonglineTuna,high,non-destructive,502004,Medium benthopelagics (30 - 89 cm),pelagic
Acanthuridae,Surgeonfishes tangs unicornfishes,Trap,high,non-destructive,400412,Small reef assoc. fish (<30 cm),demersal
Myctophidae,Lanternfishes,Trawl,high,destructive,400167,Small pelagics (<30 cm),demersal
Echeneidae,Remoras,Lines Non-tuna,low,non-destructive,400313,Large pelagics (>=90 cm),pelagic
Coregonus nasus,Broad whitefish,Gillnet,high,non-destructive,602674,Medium demersals (30 - 89 cm),demersal
Dussumieria acuta,Rainbow sardine,Purse seine Non-tuna,low,non-destructive,601453,Small pelagics (<30 cm),pelagic
Phycis,Gunnels forkbeards,Seine,high,non-destructive,509303,Medium benthopelagics (30 - 89 cm),pelagic
Spicara maena,Blotched picarel,Gillnet,high,non-destructive,604887,Small demersals (<30 cm),demersal
Haliotis tuberculata,Tuberculate abalone,Other,low,non-destructive,690420,Other demersal invertebrates,demersal
Leucoraja naevus,Cuckoo ray,Trawl,high,destructive,604326,Small to medium rays (<90 cm),demersal
Plectorhinchus pictus,Trout sweetlips,Other,low,non-destructive,608315,Medium reef assoc. fish (30 - 89 cm),pelagic
Dipturus oxyrinchus,Longnosed skate,Trawl,high,destructive,607616,Large rays (>=90 cm),demersal
Spicara maena,Blotched picarel,Trawl,high,destructive,604887,Small demersals (<30 cm),demersal
Placopecten magellanicus,American sea scallop,Dredge,high,destructive,690011,Other demersal invertebrates,demersal
Farfantepenaeus aztecus,Northern brown shrimp,Trawl,high,destructive,690265,Shrimps,demersal
King crabs squat-lobsters,Craylets squat lobsters,Dredge,high,destructive,NA,NA,demersal
Apostichopus japonicus,Japanese sea cucumber,Other,low,non-destructive,690201,Other demersal invertebrates,demersal
Myoxocephalus,Sculpins,Trawl,high,destructive,500717,Large reef assoc. fish (>=90 cm),demersal
Chione stutchburyi,Stutchbury's venus,Dredge,high,destructive,690692,Other demersal invertebrates,demersal
Calamus,Porgies,Lines Non-tuna,low,non-destructive,501551,Medium reef assoc. fish (30 - 89 cm),pelagic
Triglidae,Searobins,Gillnet,high,non-destructive,400266,Medium demersals (30 - 89 cm),demersal
Geryon,Deepsea crabs,Dredge,high,destructive,590067,"Lobsters, crabs",demersal
Bivalvia,Clams,Dredge,high,destructive,290004,Other demersal invertebrates,demersal
Diplodus cervinus cervinus,Zebra seabream,Trawl,high,destructive,602497,Medium benthopelagics (30 - 89 cm),demersal
Scomberomorus lineolatus,Streaked seerfish,Purse seine Non-tuna,low,non-destructive,600125,Large pelagics (>=90 cm),pelagic
Alosa fallax,Twaite shad,Trap,high,non-destructive,605355,Medium pelagics (30 - 89 cm),demersal
Arripis trutta,Eastern Australian salmon,Purse seine Non-tuna,low,non-destructive,605048,Medium pelagics (30 - 89 cm),pelagic
Clupeoids,Herrings sardines anchovies,Trawl midwater,high,non-destructive,NA,NA,pelagic
Pagellus bellottii,Red pandora,Lines Non-tuna,low,non-destructive,600436,Medium demersals (30 - 89 cm),demersal
Phycis phycis,Forkbeard,Lines Non-tuna,low,non-destructive,601747,Medium benthopelagics (30 - 89 cm),pelagic
Epinephelus goreensis,Dungat grouper,Lines Non-tuna,low,non-destructive,604961,Large demersals (>=90 cm),demersal
Sarda orientalis,Striped bonito,Pole and Line Tuna,low,non-destructive,600114,Large pelagics (>=90 cm),pelagic
Decapterus russelli,Indian scad,Trawl midwater,high,non-destructive,600374,Medium pelagics (30 - 89 cm),pelagic
Sardinella zunasi,Japanese sardinella,Seine,high,non-destructive,601519,Small pelagics (<30 cm),pelagic
Menidia menidia,Atlantic silverside,Trawl midwater,high,non-destructive,600339,Small pelagics (<30 cm),pelagic
Myoxocephalus,Sculpins,Gillnet,high,non-destructive,500717,Large reef assoc. fish (>=90 cm),pelagic
Hemiramphus,Halfbeaks,Trawl,high,destructive,509289,Medium pelagics (30 - 89 cm),demersal
Atractoscion aequidens,Geelbeck croaker,Lines Non-tuna,low,non-destructive,600420,Large benthopelagics (>=90 cm),pelagic
Dorosoma cepedianum,American gizzard shad,Gillnet,high,non-destructive,601604,Medium pelagics (30 - 89 cm),pelagic
Polyprion americanus,Wreckfish,Trawl,high,destructive,600349,Large bathydemersals (>=90 cm),demersal
Mullus surmuletus,Striped red mullet,Gillnet,high,non-destructive,601327,Medium demersals (30 - 89 cm),demersal
Mugil,Grey mullets,Gillnet,high,non-destructive,500152,Medium demersals (30 - 89 cm),demersal
Ommastrephidae,Arrow squids,Trawl midwater,high,non-destructive,490004,Cephalopods,pelagic
Arius thalassinus,Giant seacatfish,Longline Non-tuna,high,non-destructive,NA,NA,demersal
Loligo forbesii,Veined Squid,Trawl,high,destructive,690595,Cephalopods,demersal
Lethrinus xanthochilus,Yellowlip emperor,Other,low,non-destructive,601852,Medium reef assoc. fish (30 - 89 cm),pelagic
Aristeus varidens,Striped red shrimp,Trawl,high,destructive,690403,Shrimps,demersal
Mola mola,Ocean sunfish,Trap,high,non-destructive,601732,Large pelagics (>=90 cm),demersal
Lithognathus lithognathus,White steenbras,Trawl,high,destructive,600450,Large benthopelagics (>=90 cm),demersal
Scomberomorus sierra,Pacific sierra,Pole and Line Tuna,low,non-destructive,600136,Large pelagics (>=90 cm),pelagic
Gadus ogac,Greenland cod,Trap,high,non-destructive,600309,Medium demersals (30 - 89 cm),demersal
Totoaba macdonaldi,Totoaba,Trawl,high,destructive,606317,Large benthopelagics (>=90 cm),demersal
Centrolophidae,Medusafishes,Trawl midwater,high,non-destructive,400421,Medium pelagics (30 - 89 cm),pelagic
Venus verrucosa,Warty venus,Other,low,non-destructive,690693,Other demersal invertebrates,demersal
Tawera gayi,Gay's little venus,Other,low,non-destructive,690682,Other demersal invertebrates,demersal
Diplodus cervinus cervinus,Zebra seabream,Lines Non-tuna,low,non-destructive,602497,Medium benthopelagics (30 - 89 cm),pelagic
Brevoortia tyrannus,Atlantic menhaden,Purse seine Non-tuna,low,non-destructive,601592,Medium pelagics (30 - 89 cm),pelagic
Zidona dufresnei,Angulate volute,Other,low,non-destructive,690674,Other demersal invertebrates,demersal
Clupeoids,Herrings sardines anchovies,Trawl,high,destructive,NA,NA,demersal
Centrophorus lusitanicus,Lowfin gulper shark,Trawl,high,destructive,600650,Large sharks (>=90 cm),demersal
Lamniformes,Mackerel sharks,Gillnet,high,non-destructive,300007,Large sharks (>=90 cm),pelagic
Oncorhynchus masou masou,Cherry salmon,Trawl midwater,high,non-destructive,600242,Medium benthopelagics (30 - 89 cm),pelagic
Clupeiformes,Herrings,Other,low,non-destructive,300028,Small pelagics (<30 cm),pelagic
Thalassoma pavo,Ornate wrasse,Trawl,high,destructive,602500,Small reef assoc. fish (<30 cm),demersal
Arctica islandica,Ocean quahog,Other,low,non-destructive,690275,Other demersal invertebrates,demersal
Spisula ovalis,Venus clam,Other,low,non-destructive,690631,Other demersal invertebrates,demersal
Psettodes belcheri,Spottail spiny turbot,Gillnet,high,non-destructive,604504,Small to medium flatfishes (<90 cm),demersal
Alosa fallax,Twaite shad,Purse seine Non-tuna,low,non-destructive,605355,Medium pelagics (30 - 89 cm),pelagic
Mercenaria mercenaria,Northern quahog,Dredge,high,destructive,690270,Other demersal invertebrates,demersal
Scombroids,Tunas bonitos billfishes,Trawl,high,destructive,NA,NA,demersal
Taractichthys steindachneri,Sickle pomfret,Trawl,high,destructive,603561,Medium benthopelagics (30 - 89 cm),demersal
Lepidonotothen larseni,Lepidonotothen larseni,Trawl,high,destructive,NA,NA,demersal
Zoarces americanus,Ocean pout,Other,low,non-destructive,600480,Large demersals (>=90 cm),demersal
Nibea mitsukurii,Nibe croaker,Gillnet,high,non-destructive,600427,Medium benthopelagics (30 - 89 cm),pelagic
Coregonus muksun,Muksun,Lines Non-tuna,low,non-destructive,612547,Large benthopelagics (>=90 cm),pelagic
Valamugil seheli,Bluespot mullet,Trap,high,non-destructive,NA,NA,demersal
Cheilinus undulatus,Humphead wrasse,Lines Non-tuna,low,non-destructive,605604,Large reef assoc. fish (>=90 cm),pelagic
Rhabdosargus haffara,Haffara seabream,Other,low,non-destructive,608166,Medium reef assoc. fish (30 - 89 cm),pelagic
Mulloidichthys flavolineatus,Yellowstripe goatfish,Gillnet,high,non-destructive,605983,Medium reef assoc. fish (30 - 89 cm),pelagic
Paralabrax humeralis,Peruvian rock seabass,Gillnet,high,non-destructive,600352,Medium benthopelagics (30 - 89 cm),pelagic
Scomberomorus maculatus,Spanish mackerel,Gillnet,high,non-destructive,600126,Medium pelagics (30 - 89 cm),pelagic
Sprattus fuegensis,Falkland sprat,Purse seine Non-tuna,low,non-destructive,601466,Small pelagics (<30 cm),pelagic
Molva molva,Ling,Trawl midwater,high,non-destructive,600033,Large demersals (>=90 cm),pelagic
Salmonidae,Salmonids,Purse seine Non-tuna,low,non-destructive,400076,Large benthopelagics (>=90 cm),pelagic
Lutjanus quinquelineatus,Five-lined snapper,Other,low,non-destructive,600172,Medium reef assoc. fish (30 - 89 cm),pelagic
Megalops cyprinoides,Indo-Pacific tarpon,Lines Non-tuna,low,non-destructive,600227,Large pelagics (>=90 cm),pelagic
Scophthalmus aquosus,Windowpane,Gillnet,high,non-destructive,600530,Small to medium flatfishes (<90 cm),demersal
Lepidopsetta bilineata,Rock sole,Longline Non-tuna,high,non-destructive,624237,Small to medium flatfishes (<90 cm),demersal
Mustelus schmitti,Narrownose smooth-hound,Trawl,high,destructive,605937,Small to medium sharks (<90 cm),demersal
Limanda aspera,Yellowfin sole,Trawl,high,destructive,600520,Small to medium flatfishes (<90 cm),demersal
Sphyrna zygaena,Smooth hammerhead,Lines Non-tuna,low,non-destructive,600917,Large sharks (>=90 cm),pelagic
Miscellaneous marine crustaceans,Marine crustaceans,Seine,high,non-destructive,100047,Shrimps,demersal
Decapterus russelli,Indian scad,Trawl,high,destructive,600374,Medium pelagics (30 - 89 cm),demersal
Scorpaena porcus,Black scorpionfish,Gillnet,high,non-destructive,601758,Small demersals (<30 cm),demersal
Littorina littorea,Common periwinkle,Dredge,high,destructive,690089,Other demersal invertebrates,demersal
Epinephelus summana,Summan grouper,Trap,high,non-destructive,607366,Medium reef assoc. fish (30 - 89 cm),demersal
Malacanthidae,Tilefishes,Trap,high,non-destructive,400308,Medium demersals (30 - 89 cm),demersal
Lethrinus harak,Thumbprint emperor,Trap,high,non-destructive,601851,Medium reef assoc. fish (30 - 89 cm),demersal
Cancer magister,Dungeness crab,Trap,high,non-destructive,690115,"Lobsters, crabs",demersal
Loligo vulgaris,Cape Hope squid,Trawl,high,destructive,690067,Cephalopods,demersal
Rhabdosargus globiceps,White stumpnose,Lines Non-tuna,low,non-destructive,600449,Medium benthopelagics (30 - 89 cm),pelagic
Microchirus,Iberian soles,Trawl,high,destructive,501418,Large reef assoc. fish (>=90 cm),demersal
Balistes capriscus,Grey triggerfish,Longline Non-tuna,high,non-destructive,607327,Medium benthopelagics (30 - 89 cm),pelagic
Cantherhines,Filefishes,Lines Non-tuna,low,non-destructive,501677,Medium reef assoc. fish (30 - 89 cm),pelagic
Hemiramphidae,Halfbeaks,Purse seine Non-tuna,low,non-destructive,400475,Medium reef assoc. fish (30 - 89 cm),pelagic
Engraulis mordax,Californian anchovy,Trawl midwater,high,non-destructive,601664,Small pelagics (<30 cm),pelagic
Micromesistius poutassou,Blue whiting,Trawl,high,destructive,600031,Medium benthopelagics (30 - 89 cm),demersal
Lethrinus microdon,Smalltooth emperor,Other,low,non-destructive,601845,Medium reef assoc. fish (30 - 89 cm),pelagic
Hyporhamphus sajori,Japanese halfbeak,Trap,high,non-destructive,600305,Medium pelagics (30 - 89 cm),demersal
Balistes capriscus,Grey triggerfish,Lines Non-tuna,low,non-destructive,607327,Medium benthopelagics (30 - 89 cm),pelagic
Aethaloperca rogaa,Redmouth grouper,Other,low,non-destructive,606441,Medium reef assoc. fish (30 - 89 cm),pelagic
Thenus orientalis,Flathead lobster,Gillnet,high,non-destructive,690681,"Lobsters, crabs",demersal
Seriolella,Barrelfishes,Purse seine Tuna,low,non-destructive,502004,Medium benthopelagics (30 - 89 cm),pelagic
Lithodes,Lithodes,Gillnet,high,non-destructive,590070,"Lobsters, crabs",demersal
